date,temperature,irradiance,wind_speed,clear_sky_radiation,cloud_cover,snow_depth_cm
1/1/2018,-16.93,0.9629,3.73,1.1191,63.25,18
1/2/2018,-7.23,0.863,3.06,1.0282,46.97,18
1/3/2018,-5.85,0.9545,2.76,1.0553,55,22
1/4/2018,-5.86,0.6854,1.97,1.0517,56.49,23
1/5/2018,-6.79,1.0493,2.08,1.0769,34.2,17
1/6/2018,-1.14,0.7222,4.81,1.0966,91.12,15
1/7/2018,-3.73,0.9511,3.11,1.1299,51.22,15
1/8/2018,-4.25,0.8172,2.54,1.1167,98.95,20
1/9/2018,-16.83,0.6605,5.68,1.1729,79.3,27
1/10/2018,-22.82,0.9223,2.82,1.2602,70.18,28
1/11/2018,-24.63,1.2139,2.35,1.3265,35.57,26
1/12/2018,-24.36,1.2223,2.81,1.314,54.98,12
1/13/2018,-8.67,1.0178,3.1199999999999997,1.2228,76.84,17
1/14/2018,-13.9,1.0615,2.41,1.2802,90.07,28
1/15/2018,-14.02,1.147,5.72,1.3790000000000002,65.7,26
1/16/2018,-6.19,1.2859,2.8800000000000003,1.32,48.85999999999999,25
1/17/2018,-0.74,1.2854,3.42,1.3630000000000002,69.13,24
1/18/2018,0.27,1.0349,3.91,1.3814,75.64,23
1/19/2018,-1.56,1.1527,3.44,1.3903,74.29,24
1/20/2018,-5.44,1.11,0.96,1.4105,63.89000000000001,23
1/21/2018,-6.66,1.0649,2.83,1.4616,84.91,19
1/22/2018,-5.7,1.2031,2.22,1.4954,72.74,19
1/23/2018,-5.85,1.4736,2.83,1.5605,52.06,20
1/24/2018,-7.08,1.2396,2.22,1.5437,83.96,19
1/25/2018,-10.01,0.9245,2.72,1.5679,94.58999999999999,19
1/26/2018,-14.67,0.8914,4.86,1.6939,98.23,19
1/27/2018,-17.47,1.3327,1.7299999999999998,1.7347,83.21,19
1/28/2018,-17.15,1.4707,2.51,1.7868000000000002,79.95,16
1/29/2018,-10.1,0.8717,5.2,1.6992,98,15
1/30/2018,-13.69,1.3483,4.35,1.8396,77.54,15
1/31/2018,-24.21,1.8633999999999997,1.86,1.9471,41.97,15
2/1/2018,-20.78,1.8554000000000002,1.36,1.9735000000000003,75.07,16
2/2/2018,-20.98,1.9596,3.52,2.0004,74.61,15
2/3/2018,-23.25,2.021,2.97,2.1216,58.9,15
2/4/2018,-22.62,2.0561,2.9599999999999995,2.1965,49.09,21
2/5/2018,-22.42,2.1101,2.08,2.239,53.41,22
2/6/2018,-18.05,2.2022,3.01,2.3086,52.04999999999999,25
2/7/2018,-16.84,1.7508,1.34,2.263,92.69,24
2/8/2018,-19.99,1.8229999999999997,1.64,2.3818,83.92,29
2/9/2018,-20.68,2.413,3.82,2.4389,36,29
2/10/2018,-10.59,1.9807,4.84,2.4324,90.67,28
2/11/2018,-23.58,2.5159,2.36,2.6167,48.94,37
2/12/2018,-14.96,2.503,4.13,2.6249,49.87,34
2/13/2018,-0.44,1.6462,5.13,2.4936,99.81,32
2/14/2018,-13.34,2.2282,4.81,2.6885,82.26,32
2/15/2018,-16.84,2.7917,3.76,2.8236000000000003,44.29,28
2/16/2018,-10.22,2.3244,4.29,2.7866,84.23,22
2/17/2018,-17.4,2.5202,3.23,2.9237,73.92,27
2/18/2018,-18.87,2.5212,3.43,3.001,66,26
2/19/2018,-18.07,2.5822,3.6,3.0444,64.26,25
2/20/2018,-18.29,2.7425,2.92,3.1164,82.87,21
2/21/2018,-15.3,3.0894999999999997,2.97,3.1433,39.09,18
2/22/2018,-10.63,3.0809,3.28,3.1534,27.22,15
2/23/2018,-8.73,2.5795,4.87,3.1829,69.46,15
2/24/2018,-6.41,2.8534,4.08,3.2489000000000003,73.67,12
2/25/2018,-5.47,2.749,3.99,3.2918,86.61,11
2/26/2018,-7.36,2.9424000000000006,2.94,3.3837999999999995,62.59,11
2/27/2018,-2.74,2.9675999999999996,4.24,3.4126,78.67,8
2/28/2018,-5.56,3.3941,2.65,3.4956,38.44,6
3/1/2018,-9.19,2.9983,6.27,3.5328,89.74,3
3/2/2018,-11.67,2.7732000000000006,6.64,3.5815,99.23,2
3/3/2018,-10.25,2.0246,2.89,3.7015,98.26,2
3/4/2018,-12.28,3.2873,1.37,3.7745,71.34,2
3/5/2018,-13.95,3.773,1.95,3.9137,38.45,2
3/6/2018,-12.12,3.7666,1.68,3.9653000000000005,38.01,2
3/7/2018,-9.01,3.9211000000000005,1.36,3.9943000000000004,34.54,1
3/8/2018,-7.95,3.5947,4.3,3.9568999999999996,62.169999999999995,2
