date,site,daily_kwh
1/1/2025,Doug_Visser,0.1
1/2/2025,Doug_Visser,0.2
1/3/2025,Doug_Visser,0.2
1/4/2025,Doug_Visser,0.1
1/5/2025,Doug_Visser,0.2
1/6/2025,Doug_Visser,0.1
1/7/2025,Doug_Visser,0.2
1/8/2025,Doug_Visser,6.3
1/9/2025,Doug_Visser,18.5
1/10/2025,Doug_Visser,4
1/11/2025,Doug_Visser,0.8
1/12/2025,Doug_Visser,1
1/13/2025,Doug_Visser,0.5
1/14/2025,Doug_Visser,1.4
1/15/2025,Doug_Visser,10.4
1/16/2025,Doug_Visser,13
1/17/2025,Doug_Visser,13.3
1/18/2025,Doug_Visser,5.4
1/19/2025,Doug_Visser,6.4
1/20/2025,Doug_Visser,4.8
1/21/2025,Doug_Visser,16.5
1/22/2025,Doug_Visser,8.3
1/23/2025,Doug_Visser,15.8
1/24/2025,Doug_Visser,15.4
1/25/2025,Doug_Visser,22.3
1/26/2025,Doug_Visser,30.6
1/27/2025,Doug_Visser,21.1
1/28/2025,Doug_Visser,14.6
1/29/2025,Doug_Visser,0.5
1/30/2025,Doug_Visser,0.4
1/31/2025,Doug_Visser,0.4
2/1/2025,Doug_Visser,0.3
2/2/2025,Doug_Visser,0.1
2/3/2025,Doug_Visser,0.2
2/4/2025,Doug_Visser,0.2
2/5/2025,Doug_Visser,0.2
2/6/2025,Doug_Visser,0.1
2/7/2025,Doug_Visser,0.2
2/8/2025,Doug_Visser,0.2
2/9/2025,Doug_Visser,0.2
2/10/2025,Doug_Visser,0.3
2/11/2025,Doug_Visser,0.2
2/12/2025,Doug_Visser,0.2
2/13/2025,Doug_Visser,0.2
2/14/2025,Doug_Visser,0.2
2/15/2025,Doug_Visser,0.2
2/16/2025,Doug_Visser,0.3
2/17/2025,Doug_Visser,0.4
2/18/2025,Doug_Visser,0.4
2/19/2025,Doug_Visser,0.5
2/20/2025,Doug_Visser,0.3
2/21/2025,Doug_Visser,2.8
2/22/2025,Doug_Visser,23.5
2/23/2025,Doug_Visser,36.2
2/24/2025,Doug_Visser,43.3
2/25/2025,Doug_Visser,44.3
2/26/2025,Doug_Visser,25
2/27/2025,Doug_Visser,35.4
2/28/2025,Doug_Visser,46.5
3/1/2025,Doug_Visser,35.4
3/2/2025,Doug_Visser,42.6
3/3/2025,Doug_Visser,37.4
3/4/2025,Doug_Visser,48.2
3/5/2025,Doug_Visser,47.9
3/6/2025,Doug_Visser,49.3
3/7/2025,Doug_Visser,44.8
3/8/2025,Doug_Visser,40.4
3/9/2025,Doug_Visser,13
3/10/2025,Doug_Visser,24.7
3/11/2025,Doug_Visser,43.9
3/12/2025,Doug_Visser,15
3/13/2025,Doug_Visser,6.7
3/14/2025,Doug_Visser,3.4
3/15/2025,Doug_Visser,2.8
3/16/2025,Doug_Visser,7.5
3/17/2025,Doug_Visser,15.8
3/18/2025,Doug_Visser,53.4
3/19/2025,Doug_Visser,50
3/20/2025,Doug_Visser,37.2
3/21/2025,Doug_Visser,48.3
3/22/2025,Doug_Visser,52
3/23/2025,Doug_Visser,53.9
3/24/2025,Doug_Visser,45.4
3/25/2025,Doug_Visser,53
3/26/2025,Doug_Visser,41.8
3/27/2025,Doug_Visser,0.5
3/28/2025,Doug_Visser,0.2
3/29/2025,Doug_Visser,0.6
3/30/2025,Doug_Visser,1
3/31/2025,Doug_Visser,17.5
4/1/2025,Doug_Visser,38.8
4/2/2025,Doug_Visser,56.3
4/3/2025,Doug_Visser,49.1
4/4/2025,Doug_Visser,58.3
4/5/2025,Doug_Visser,56.8
4/6/2025,Doug_Visser,56.5
4/7/2025,Doug_Visser,39.9
4/8/2025,Doug_Visser,38
4/9/2025,Doug_Visser,55.5
4/10/2025,Doug_Visser,52.4
4/11/2025,Doug_Visser,51
4/12/2025,Doug_Visser,0
4/13/2025,Doug_Visser,51
4/14/2025,Doug_Visser,0
4/15/2025,Doug_Visser,0
4/16/2025,Doug_Visser,43.9
4/17/2025,Doug_Visser,78.8
4/18/2025,Doug_Visser,0
4/19/2025,Doug_Visser,0
4/20/2025,Doug_Visser,0
4/21/2025,Doug_Visser,0
4/22/2025,Doug_Visser,0
4/23/2025,Doug_Visser,0
4/24/2025,Doug_Visser,0
4/25/2025,Doug_Visser,0
4/26/2025,Doug_Visser,81
4/27/2025,Doug_Visser,5.8
4/28/2025,Doug_Visser,0
4/29/2025,Doug_Visser,35.1
4/30/2025,Doug_Visser,27.5
5/1/2025,Doug_Visser,33.1
5/2/2025,Doug_Visser,86.8
5/3/2025,Doug_Visser,80.8
5/4/2025,Doug_Visser,0.1
5/5/2025,Doug_Visser,0
5/6/2025,Doug_Visser,0
5/7/2025,Doug_Visser,53.1
5/8/2025,Doug_Visser,5.9
5/9/2025,Doug_Visser,67.5
5/10/2025,Doug_Visser,70.1
5/11/2025,Doug_Visser,83.1
5/12/2025,Doug_Visser,21.9
5/13/2025,Doug_Visser,0
5/14/2025,Doug_Visser,58.4
5/15/2025,Doug_Visser,10
5/16/2025,Doug_Visser,7.5
5/17/2025,Doug_Visser,77
5/18/2025,Doug_Visser,42
5/19/2025,Doug_Visser,21.3
5/20/2025,Doug_Visser,17.4
5/21/2025,Doug_Visser,30.7
5/22/2025,Doug_Visser,52.9
5/23/2025,Doug_Visser,21.6
5/24/2025,Doug_Visser,94.2
5/25/2025,Doug_Visser,95.2
5/26/2025,Doug_Visser,83.7
5/27/2025,Doug_Visser,75.2
5/28/2025,Doug_Visser,0
5/29/2025,Doug_Visser,0
5/30/2025,Doug_Visser,93.4
5/31/2025,Doug_Visser,68.8
6/1/2025,Doug_Visser,24.3
6/2/2025,Doug_Visser,67.2
6/3/2025,Doug_Visser,79
6/4/2025,Doug_Visser,73.2
6/5/2025,Doug_Visser,86.3
6/6/2025,Doug_Visser,41.8
6/7/2025,Doug_Visser,37.6
6/8/2025,Doug_Visser,87.1
6/9/2025,Doug_Visser,95
6/10/2025,Doug_Visser,83.5
6/11/2025,Doug_Visser,62
6/12/2025,Doug_Visser,14.6
6/13/2025,Doug_Visser,23.6
6/14/2025,Doug_Visser,32.7
6/15/2025,Doug_Visser,80.3
6/16/2025,Doug_Visser,92.6
6/17/2025,Doug_Visser,82.7
6/18/2025,Doug_Visser,79.4
6/19/2025,Doug_Visser,34.5
6/20/2025,,
6/21/2025,,
6/22/2025,,
6/23/2025,,
6/24/2025,,
6/25/2025,,
6/26/2025,Doug_Visser,89.8
6/27/2025,Doug_Visser,78.6
6/28/2025,Doug_Visser,56.3
6/29/2025,Doug_Visser,93.6
6/30/2025,Doug_Visser,92.1
7/1/2025,Doug_Visser,74.5
7/2/2025,Doug_Visser,86
7/3/2025,Doug_Visser,21
7/4/2025,Doug_Visser,43.8
7/5/2025,Doug_Visser,86.1
7/6/2025,Doug_Visser,32.6
7/7/2025,Doug_Visser,75.9
7/8/2025,Doug_Visser,85.7
7/9/2025,Doug_Visser,74
7/10/2025,Doug_Visser,54.3
7/11/2025,Doug_Visser,10.1
7/12/2025,,
7/13/2025,,
7/14/2025,,
7/15/2025,,
7/16/2025,Doug_Visser,3.2
7/17/2025,,
7/18/2025,,
7/19/2025,,
7/20/2025,,
7/21/2025,,
7/22/2025,,
7/23/2025,,
7/24/2025,,
7/25/2025,,
7/26/2025,,
7/27/2025,,
7/28/2025,,
7/29/2025,,
7/30/2025,,
7/31/2025,,
8/1/2025,,
8/2/2025,,
8/3/2025,,
8/4/2025,,
8/5/2025,,
8/6/2025,,
8/7/2025,,
8/8/2025,,
8/9/2025,,
8/10/2025,,
8/11/2025,,
8/12/2025,,
8/13/2025,,
8/14/2025,,
8/15/2025,,
8/16/2025,,
8/17/2025,,
8/18/2025,,
8/19/2025,,
8/20/2025,,
8/21/2025,,
8/22/2025,,
8/23/2025,,
8/24/2025,,
8/25/2025,,
8/26/2025,,
8/27/2025,,
8/28/2025,,
8/29/2025,,
8/30/2025,,
8/31/2025,,
9/1/2025,,
9/2/2025,,
9/3/2025,,
9/4/2025,,
9/5/2025,,
9/6/2025,,
9/7/2025,,
9/8/2025,,
9/9/2025,,
9/10/2025,,
9/11/2025,,
9/12/2025,,
9/13/2025,,
9/14/2025,,
9/15/2025,,
9/16/2025,,
9/17/2025,,
9/18/2025,,
9/19/2025,,
9/20/2025,,
9/21/2025,,
9/22/2025,,
9/23/2025,,
9/24/2025,,
9/25/2025,,
9/26/2025,,
9/27/2025,,
9/28/2025,,
9/29/2025,,
9/30/2025,,
10/1/2025,,
10/2/2025,,
10/3/2025,Doug_Visser,49
10/4/2025,Doug_Visser,33.1
10/5/2025,Doug_Visser,57.8
10/6/2025,Doug_Visser,24.3
10/7/2025,Doug_Visser,30.2
10/8/2025,Doug_Visser,39.6
10/9/2025,Doug_Visser,53.7
10/10/2025,Doug_Visser,49.5
10/11/2025,Doug_Visser,9.9
10/12/2025,Doug_Visser,12.4
10/13/2025,Doug_Visser,40.5
10/14/2025,Doug_Visser,52.2
10/15/2025,Doug_Visser,48.5
10/16/2025,Doug_Visser,48.3
10/17/2025,Doug_Visser,45.1
10/18/2025,Doug_Visser,49
10/19/2025,Doug_Visser,15.9
10/20/2025,Doug_Visser,10.7
10/21/2025,Doug_Visser,33.9
10/22/2025,Doug_Visser,3.3
10/23/2025,Doug_Visser,41.6
10/24/2025,Doug_Visser,13.5
10/25/2025,Doug_Visser,31.2
10/26/2025,Doug_Visser,7.6
10/27/2025,Doug_Visser,6.9
10/28/2025,Doug_Visser,42.7
10/29/2025,Doug_Visser,23.7
10/30/2025,Doug_Visser,21
10/31/2025,Doug_Visser,17
11/1/2025,Doug_Visser,14.9
11/2/2025,Doug_Visser,35.7
11/3/2025,Doug_Visser,29.6
11/4/2025,Doug_Visser,37.9
11/5/2025,Doug_Visser,19.5
11/6/2025,Doug_Visser,1.1
11/7/2025,Doug_Visser,0.3
11/8/2025,Doug_Visser,3.3
11/9/2025,Doug_Visser,13.7
11/10/2025,Doug_Visser,25.2
11/11/2025,Doug_Visser,31.5
11/12/2025,Doug_Visser,30
11/13/2025,Doug_Visser,13.5
11/14/2025,Doug_Visser,32.2
11/15/2025,Doug_Visser,28
11/16/2025,Doug_Visser,21
11/17/2025,Doug_Visser,10.1
11/18/2025,Doug_Visser,3.7
