date,visser_adjusted_kwh
1/1/2025,0.1
1/2/2025,0.2
1/3/2025,0.2
1/4/2025,0.1
1/5/2025,0.2
1/6/2025,0.1
1/7/2025,0.2
1/8/2025,6.3
1/9/2025,18.5
1/10/2025,4
1/11/2025,0.8
1/12/2025,1
1/13/2025,0.5
1/14/2025,1.4
1/15/2025,10.4
1/16/2025,13
1/17/2025,13.3
1/18/2025,5.4
1/19/2025,6.4
1/20/2025,4.8
1/21/2025,16.5
1/22/2025,8.3
1/23/2025,15.8
1/24/2025,15.4
1/25/2025,22.3
1/26/2025,30.6
1/27/2025,21.1
1/28/2025,14.6
1/29/2025,0.5
1/30/2025,0.4
1/31/2025,0.4
2/1/2025,0.3
2/2/2025,0.1
2/3/2025,0.2
2/4/2025,0.2
2/5/2025,0.2
2/6/2025,0.1
2/7/2025,0.2
2/8/2025,0.2
2/9/2025,0.2
2/10/2025,0.3
2/11/2025,0.2
2/12/2025,0.2
2/13/2025,0.2
2/14/2025,0.2
2/15/2025,0.2
2/16/2025,0.3
2/17/2025,0.4
2/18/2025,0.4
2/19/2025,0.5
2/20/2025,0.3
2/21/2025,2.8
2/22/2025,23.5
2/23/2025,36.2
2/24/2025,43.3
2/25/2025,44.3
2/26/2025,25
2/27/2025,35.4
2/28/2025,46.5
3/1/2025,35.4
3/2/2025,42.6
3/3/2025,37.4
3/4/2025,48.2
3/5/2025,47.9
3/6/2025,49.3
3/7/2025,44.8
3/8/2025,40.4
3/9/2025,13
3/10/2025,24.7
3/11/2025,43.9
3/12/2025,15
3/13/2025,6.7
3/14/2025,3.4
3/15/2025,2.8
3/16/2025,7.5
3/17/2025,15.8
3/18/2025,53.4
3/19/2025,50
3/20/2025,37.2
3/21/2025,48.3
3/22/2025,52
3/23/2025,53.9
3/24/2025,45.4
3/25/2025,53
3/26/2025,41.8
3/27/2025,0.5
3/28/2025,0.2
3/29/2025,0.6
3/30/2025,1
3/31/2025,17.5
4/1/2025,38.8
4/2/2025,56.3
4/3/2025,49.1
4/4/2025,58.3
4/5/2025,56.8
4/6/2025,56.5
4/7/2025,39.9
4/8/2025,38
4/9/2025,55.5
4/10/2025,52.4
4/11/2025,51
4/12/2025,50.909873703416295
4/13/2025,51
4/14/2025,52.4
4/15/2025,43.08950997667125
4/16/2025,43.9
4/17/2025,78.8
4/18/2025,50.300401855826834
4/19/2025,42.074435342477535
4/20/2025,59.60293182540061
4/21/2025,40.855832574828156
4/22/2025,42.95592575883015
4/23/2025,54.900153609744066
4/24/2025,45.54685797069706
4/25/2025,46.303707542609956
4/26/2025,81
4/27/2025,5.8
4/28/2025,36.5004482
4/29/2025,35.1
4/30/2025,27.5
5/1/2025,33.1
5/2/2025,86.8
