site,date,daily_kwh
Doug_Visser,2025-01-01,0.1
Doug_Visser,2025-01-02,0.2
Doug_Visser,2025-01-03,0.2
Doug_Visser,2025-01-04,0.1
Doug_Visser,2025-01-05,0.2
Doug_Visser,2025-01-06,0.1
Doug_Visser,2025-01-07,0.2
Doug_Visser,2025-01-08,6.3
Doug_Visser,2025-01-09,18.5
Doug_Visser,2025-01-10,4.0
Doug_Visser,2025-01-11,0.8
Doug_Visser,2025-01-12,1.0
Doug_Visser,2025-01-13,0.5
Doug_Visser,2025-01-14,1.4
Doug_Visser,2025-01-15,10.4
Doug_Visser,2025-01-16,13.0
Doug_Visser,2025-01-17,13.3
Doug_Visser,2025-01-18,5.4
Doug_Visser,2025-01-19,6.4
Doug_Visser,2025-01-20,4.8
Doug_Visser,2025-01-21,16.5
Doug_Visser,2025-01-22,8.3
Doug_Visser,2025-01-23,15.8
Doug_Visser,2025-01-24,15.4
Doug_Visser,2025-01-25,22.3
Doug_Visser,2025-01-26,30.6
Doug_Visser,2025-01-27,21.1
Doug_Visser,2025-01-28,14.6
Doug_Visser,2025-01-29,0.5
Doug_Visser,2025-01-30,0.4
Doug_Visser,2025-01-31,0.4
Doug_Visser,2025-02-01,0.3
Doug_Visser,2025-02-02,0.1
Doug_Visser,2025-02-03,0.2
Doug_Visser,2025-02-04,0.2
Doug_Visser,2025-02-05,0.2
Doug_Visser,2025-02-06,0.1
Doug_Visser,2025-02-07,0.2
Doug_Visser,2025-02-08,0.2
Doug_Visser,2025-02-09,0.2
Doug_Visser,2025-02-10,0.3
Doug_Visser,2025-02-11,0.2
Doug_Visser,2025-02-12,0.2
Doug_Visser,2025-02-13,0.2
Doug_Visser,2025-02-14,0.2
Doug_Visser,2025-02-15,0.2
Doug_Visser,2025-02-16,0.3
Doug_Visser,2025-02-17,0.4
Doug_Visser,2025-02-18,0.4
Doug_Visser,2025-02-19,0.5
Doug_Visser,2025-02-20,0.3
Doug_Visser,2025-02-21,2.8
Doug_Visser,2025-02-22,23.5
Doug_Visser,2025-02-23,36.2
Doug_Visser,2025-02-24,43.3
Doug_Visser,2025-02-25,44.3
Doug_Visser,2025-02-26,25.0
Doug_Visser,2025-02-27,35.4
Doug_Visser,2025-02-28,46.5
Doug_Visser,2025-03-01,35.4
Doug_Visser,2025-03-02,42.6
Doug_Visser,2025-03-03,37.4
Doug_Visser,2025-03-04,48.2
Doug_Visser,2025-03-05,47.9
Doug_Visser,2025-03-06,49.3
Doug_Visser,2025-03-07,44.8
Doug_Visser,2025-03-08,40.4
Doug_Visser,2025-03-09,13.0
Doug_Visser,2025-03-10,24.7
Doug_Visser,2025-03-11,43.9
Doug_Visser,2025-03-12,15.0
Doug_Visser,2025-03-13,6.7
Doug_Visser,2025-03-14,3.4
Doug_Visser,2025-03-15,2.8
Doug_Visser,2025-03-16,7.5
Doug_Visser,2025-03-17,15.8
Doug_Visser,2025-03-18,53.4
Doug_Visser,2025-03-19,50.0
Doug_Visser,2025-03-20,37.2
Doug_Visser,2025-03-21,48.3
Doug_Visser,2025-03-22,52.0
Doug_Visser,2025-03-23,53.9
Doug_Visser,2025-03-24,45.4
Doug_Visser,2025-03-25,53.0
Doug_Visser,2025-03-26,41.8
Doug_Visser,2025-03-27,0.5
Doug_Visser,2025-03-28,0.2
Doug_Visser,2025-03-29,0.6
Doug_Visser,2025-03-30,1.0
Doug_Visser,2025-03-31,17.5
Doug_Visser,2025-04-01,38.8
Doug_Visser,2025-04-02,56.3
Doug_Visser,2025-04-03,49.1
Doug_Visser,2025-04-04,58.3
Doug_Visser,2025-04-05,56.8
Doug_Visser,2025-04-06,56.5
Doug_Visser,2025-04-07,39.9
Doug_Visser,2025-04-08,38.0
Doug_Visser,2025-04-09,55.5
Doug_Visser,2025-04-10,52.4
Doug_Visser,2025-04-11,51.0
Doug_Visser,2025-04-12,0.0
Doug_Visser,2025-04-13,51.0
Doug_Visser,2025-04-14,0.0
Doug_Visser,2025-04-15,0.0
Doug_Visser,2025-04-16,43.9
Doug_Visser,2025-04-17,78.8
Doug_Visser,2025-04-18,0.0
Doug_Visser,2025-04-19,0.0
Doug_Visser,2025-04-20,0.0
Doug_Visser,2025-04-21,0.0
Doug_Visser,2025-04-22,0.0
Doug_Visser,2025-04-23,0.0
Doug_Visser,2025-04-24,0.0
Doug_Visser,2025-04-25,0.0
Doug_Visser,2025-04-26,81.0
Doug_Visser,2025-04-27,5.8
Doug_Visser,2025-04-28,0.0
Doug_Visser,2025-04-29,35.1
Doug_Visser,2025-04-30,27.5
Doug_Visser,2025-05-01,33.1
Doug_Visser,2025-05-02,86.8
Doug_Visser,2025-05-03,80.8
Doug_Visser,2025-05-04,0.1
Doug_Visser,2025-05-05,0.0
Doug_Visser,2025-05-06,0.0
Doug_Visser,2025-05-07,53.1
Doug_Visser,2025-05-08,5.9
Doug_Visser,2025-05-09,67.5
Doug_Visser,2025-05-10,70.1
Doug_Visser,2025-05-11,83.1
Doug_Visser,2025-05-12,21.9
